triangle,i,j,k
0,0,3,53
1,0,53,56
2,1,4,54
3,1,54,57
4,0,3,4
5,0,4,1
6,3,53,54
7,3,54,4
8,53,56,57
9,53,57,54
10,56,0,1
11,56,1,57
12,1,4,54
13,1,54,57
14,2,5,55
15,2,55,58
16,1,4,5
17,1,5,2
18,4,54,55
19,4,55,5
20,54,57,58
21,54,58,55
22,57,1,2
23,57,2,58
24,3,6,56
25,3,56,59
26,4,7,57
27,4,57,60
28,3,6,7
29,3,7,4
30,6,56,57
31,6,57,7
32,56,59,60
33,56,60,57
34,59,3,4
35,59,4,60
36,4,7,57
37,4,57,60
38,5,8,58
39,5,58,61
40,4,7,8
41,4,8,5
42,7,57,58
43,7,58,8
44,57,60,61
45,57,61,58
46,60,4,5
47,60,5,61
48,6,9,59
49,6,59,62
50,7,10,60
51,7,60,63
52,6,9,10
53,6,10,7
54,9,59,60
55,9,60,10
56,59,62,63
57,59,63,60
58,62,6,7
59,62,7,63
60,7,10,60
61,7,60,63
62,8,11,61
63,8,61,64
64,7,10,11
65,7,11,8
66,10,60,61
67,10,61,11
68,60,63,64
69,60,64,61
70,63,7,8
71,63,8,64
72,9,12,62
73,9,62,65
74,10,13,63
75,10,63,66
76,9,12,13
77,9,13,10
78,12,62,63
79,12,63,13
80,62,65,66
81,62,66,63
82,65,9,10
83,65,10,66
84,10,13,63
85,10,63,66
86,11,14,64
87,11,64,67
88,10,13,14
89,10,14,11
90,13,63,64
91,13,64,14
92,63,66,67
93,63,67,64
94,66,10,11
95,66,11,67
96,12,15,65
97,12,65,68
98,13,16,66
99,13,66,69
100,12,15,16
101,12,16,13
102,15,65,66
103,15,66,16
104,65,68,69
105,65,69,66
106,68,12,13
107,68,13,69
108,13,16,66
109,13,66,69
110,14,17,67
111,14,67,70
112,13,16,17
113,13,17,14
114,16,66,67
115,16,67,17
116,66,69,70
117,66,70,67
118,69,13,14
119,69,14,70
120,15,18,68
121,15,68,71
122,16,19,69
123,16,69,72
124,15,18,19
125,15,19,16
126,18,68,69
127,18,69,19
128,68,71,72
129,68,72,69
130,71,15,16
131,71,16,72
132,16,19,69
133,16,69,72
134,17,20,70
135,17,70,73
136,16,19,20
137,16,20,17
138,19,69,70
139,19,70,20
140,69,72,73
141,69,73,70
142,72,16,17
143,72,17,73
144,1,2,54
145,1,54,55
146,21,22,74
147,21,74,75
148,1,2,22
149,1,22,21
150,2,54,74
151,2,74,22
152,54,55,75
153,54,75,74
154,55,1,21
155,55,21,75
156,2,5,55
157,2,55,58
158,22,23,75
159,22,75,76
160,2,5,23
161,2,23,22
162,5,55,75
163,5,75,23
164,55,58,76
165,55,76,75
166,58,2,22
167,58,22,76
168,5,8,58
169,5,58,61
170,23,24,76
171,23,76,77
172,5,8,24
173,5,24,23
174,8,58,76
175,8,76,24
176,58,61,77
177,58,77,76
178,61,5,23
179,61,23,77
180,8,11,61
181,8,61,64
182,24,25,77
183,24,77,78
184,8,11,25
185,8,25,24
186,11,61,77
187,11,77,25
188,61,64,78
189,61,78,77
190,64,8,24
191,64,24,78
192,11,14,64
193,11,64,67
194,25,26,78
195,25,78,79
196,11,14,26
197,11,26,25
198,14,64,78
199,14,78,26
200,64,67,79
201,64,79,78
202,67,11,25
203,67,25,79
204,14,17,67
205,14,67,70
206,26,27,79
207,26,79,80
208,14,17,27
209,14,27,26
210,17,67,79
211,17,79,27
212,67,70,80
213,67,80,79
214,70,14,26
215,70,26,80
216,17,20,70
217,17,70,73
218,27,28,80
219,27,80,81
220,17,20,28
221,17,28,27
222,20,70,80
223,20,80,28
224,70,73,81
225,70,81,80
226,73,17,27
227,73,27,81
228,20,19,73
229,20,73,72
230,28,29,81
231,28,81,82
232,20,19,29
233,20,29,28
234,19,73,81
235,19,81,29
236,73,72,82
237,73,82,81
238,72,20,28
239,72,28,82
240,19,18,72
241,19,72,71
242,29,30,82
243,29,82,83
244,19,18,30
245,19,30,29
246,18,72,82
247,18,82,30
248,72,71,83
249,72,83,82
250,71,19,29
251,71,29,83
252,18,15,71
253,18,71,68
254,30,31,83
255,30,83,84
256,18,15,31
257,18,31,30
258,15,71,83
259,15,83,31
260,71,68,84
261,71,84,83
262,68,18,30
263,68,30,84
264,15,12,68
265,15,68,65
266,31,32,84
267,31,84,85
268,15,12,32
269,15,32,31
270,12,68,84
271,12,84,32
272,68,65,85
273,68,85,84
274,65,15,31
275,65,31,85
276,12,9,65
277,12,65,62
278,32,33,85
279,32,85,86
280,12,9,33
281,12,33,32
282,9,65,85
283,9,85,33
284,65,62,86
285,65,86,85
286,62,12,32
287,62,32,86
288,9,6,62
289,9,62,59
290,33,34,86
291,33,86,87
292,9,6,34
293,9,34,33
294,6,62,86
295,6,86,34
296,62,59,87
297,62,87,86
298,59,9,33
299,59,33,87
300,6,3,59
301,6,59,56
302,34,35,87
303,34,87,88
304,6,3,35
305,6,35,34
306,3,59,87
307,3,87,35
308,59,56,88
309,59,88,87
310,56,6,34
311,56,34,88
312,3,0,56
313,3,56,53
314,35,36,88
315,35,88,89
316,3,0,36
317,3,36,35
318,0,56,88
319,0,88,36
320,56,53,89
321,56,89,88
322,53,3,35
323,53,35,89
324,0,1,53
325,0,53,54
326,36,21,89
327,36,89,74
328,0,1,21
329,0,21,36
330,1,53,89
331,1,89,21
332,53,54,74
333,53,74,89
334,54,0,36
335,54,36,74
336,21,22,74
337,21,74,75
338,37,38,90
339,37,90,91
340,21,22,38
341,21,38,37
342,22,74,90
343,22,90,38
344,74,75,91
345,74,91,90
346,75,21,37
347,75,37,91
348,22,23,75
349,22,75,76
350,38,39,91
351,38,91,92
352,22,23,39
353,22,39,38
354,23,75,91
355,23,91,39
356,75,76,92
357,75,92,91
358,76,22,38
359,76,38,92
360,23,24,76
361,23,76,77
362,39,40,92
363,39,92,93
364,23,24,40
365,23,40,39
366,24,76,92
367,24,92,40
368,76,77,93
369,76,93,92
370,77,23,39
371,77,39,93
372,24,25,77
373,24,77,78
374,40,41,93
375,40,93,94
376,24,25,41
377,24,41,40
378,25,77,93
379,25,93,41
380,77,78,94
381,77,94,93
382,78,24,40
383,78,40,94
384,25,26,78
385,25,78,79
386,41,42,94
387,41,94,95
388,25,26,42
389,25,42,41
390,26,78,94
391,26,94,42
392,78,79,95
393,78,95,94
394,79,25,41
395,79,41,95
396,26,27,79
397,26,79,80
398,42,43,95
399,42,95,96
400,26,27,43
401,26,43,42
402,27,79,95
403,27,95,43
404,79,80,96
405,79,96,95
406,80,26,42
