node,x,y,z
1,17.00863692561619,-73.39911768987086,1637.73381829317
2,17.58661833875242,-83.34197270722693,1637.74293133895
3,16.86201315934084,-93.3304702070233,1637.288171307049
4,12.34375228837095,-70.22061574892321,1638.402355392379
5,11.25882546160152,-83.70084813210717,1639.046504717372
6,12.26452209831464,-97.03602966073136,1637.994574903735
7,6.013261376149083,-68.12180024878165,1638.944291608482
8,4.794845498846031,-83.97915418212418,1639.763303235005
9,6.028876785706972,-99.73281924010388,1638.727771488912
10,-1.765245177496509,-67.46282993270667,1639.049526676457
11,-1.727437039894693,-84.1627883327494,1639.950740861956
12,-1.687954701850093,-100.8592978903223,1639.088977088665
13,-9.525337098030974,-68.43985726140492,1638.523671675043
14,-8.24001683841247,-84.2551978308335,1639.606824152404
15,-9.401628968498938,-100.0856802436372,1638.758905283395
16,-15.8117798276047,-70.79179567514953,1637.713392727295
17,-14.67406535843642,-84.24154313110124,1638.676158501094
18,-15.63352590178795,-97.66589504135908,1637.927733612397
19,-20.42857338473819,-74.1441066688018,1636.874042928393
20,-20.95325478226579,-84.12210437990971,1637.089905587756
21,-20.21055996021884,-94.12640924469669,1636.965359701155
22,23.67465485828728,-82.93833634065587,1635.704151488498
23,21.62739285889139,-95.62899488997998,1635.328355276636
24,16.24768991626248,-106.6599949761631,1635.268745665376
25,8.127893366979846,-114.131190638653,1635.467407911105
26,-1.614924835965761,-117.0139819913383,1635.653607838757
27,-11.37983948394947,-114.6525029373016,1635.721722053785
28,-19.54081891712717,-107.4934453717657,1635.318843210788
29,-24.9399820574469,-96.60939823654527,1634.883893347703
30,-26.97522577992348,-83.91946645358193,1634.712007680532
31,-25.32704024973189,-71.37334376737849,1635.003163649992
32,-20.02377837424484,-60.82712252714333,1635.512486628591
33,-11.77860187970884,-53.79042115568966,1635.95178157051
34,-1.829189549597962,-51.24769284195999,1636.274514394916
35,8.1605264025896,-53.36457272619613,1636.652896801139
36,16.52603503010481,-60.09521056713461,1636.620967103777
37,21.92823332968284,-70.46446963912182,1636.162276748209
38,65.45069931857131,-78.69595973333682,1610.693598303522
39,59.32575658319578,-113.7815555475907,1610.05182501047
40,45.60839635257918,-143.573109735536,1607.336460837833
41,25.54786540410947,-163.5582376645331,1604.197596278953
42,-0.8746527987661229,-168.2053730251704,1602.882173969948
43,-27.4426107160922,-164.4125336565291,1602.528140555975
44,-47.39873983239985,-145.0529712464295,1604.19655834505
45,-61.30646498495383,-115.3818541398788,1605.745789892037
46,-68.1994222508292,-80.6190303695425,1606.992896239606
47,-65.23784154010242,-46.51838661202759,1609.390096337983
48,-51.65070788462973,-19.01600303419265,1611.962759570742
49,-28.82807736246652,-1.994238469382732,1612.189399506168
50,-2.27116362820992,4.631915957389586,1611.540010028969
51,24.46730882288988,-1.249324107569596,1611.373300453367
52,47.4592436625516,-17.59897306817824,1611.975013330417
53,61.8974868404414,-44.67470235104673,1611.757814804867
54,19.19427332414213,-72.24631579145148,1566.978283811558
55,19.73266113253106,-83.19799449424822,1567.056170455457
