triangle,i,j,k
0,0,1,2
1,107,108,109
2,0,1,108
3,0,108,107
4,1,2,109
5,1,109,108
6,2,0,107
7,2,107,109
8,0,2,3
9,107,109,110
10,0,2,109
11,0,109,107
12,2,3,110
13,2,110,109
14,3,0,107
15,3,107,110
16,0,3,4
17,107,110,111
18,0,3,110
19,0,110,107
20,3,4,111
21,3,111,110
22,4,0,107
23,4,107,111
24,0,4,5
25,107,111,112
26,0,4,111
27,0,111,107
28,4,5,112
29,4,112,111
30,5,0,107
31,5,107,112
32,0,5,6
33,107,112,113
34,0,5,112
35,0,112,107
36,5,6,113
37,5,113,112
38,6,0,107
39,6,107,113
40,0,6,7
41,107,113,114
42,0,6,113
43,0,113,107
44,6,7,114
45,6,114,113
46,7,0,107
47,7,107,114
48,0,7,8
49,107,114,115
50,0,7,114
51,0,114,107
52,7,8,115
53,7,115,114
54,8,0,107
55,8,107,115
56,0,8,9
57,107,115,116
58,0,8,115
59,0,115,107
60,8,9,116
61,8,116,115
62,9,0,107
63,9,107,116
64,0,9,10
65,107,116,117
66,0,9,116
67,0,116,107
68,9,10,117
69,9,117,116
70,10,0,107
71,10,107,117
72,0,10,11
73,107,117,118
74,0,10,117
75,0,117,107
76,10,11,118
77,10,118,117
78,11,0,107
79,11,107,118
80,0,11,12
81,107,118,119
82,0,11,118
83,0,118,107
84,11,12,119
85,11,119,118
86,12,0,107
87,12,107,119
88,0,12,13
89,107,119,120
90,0,12,119
91,0,119,107
92,12,13,120
93,12,120,119
94,13,0,107
95,13,107,120
96,0,13,14
97,107,120,121
98,0,13,120
99,0,120,107
100,13,14,121
101,13,121,120
102,14,0,107
103,14,107,121
104,0,14,1
105,107,121,108
106,0,14,121
107,0,121,107
108,14,1,108
109,14,108,121
110,1,0,107
111,1,107,108
112,8,9,57
113,58,115,116
114,8,9,115
115,8,115,58
116,9,57,116
117,9,116,115
118,57,8,58
119,57,58,116
120,9,10,58
121,59,116,117
122,9,10,116
123,9,116,59
124,10,58,117
125,10,117,116
126,58,9,59
127,58,59,117
128,10,11,59
129,60,117,118
130,10,11,117
131,10,117,60
132,11,59,118
133,11,118,117
134,59,10,60
135,59,60,118
136,11,12,60
137,61,118,119
138,11,12,118
139,11,118,61
140,12,60,119
141,12,119,118
142,60,11,61
143,60,61,119
144,12,13,61
145,62,119,120
146,12,13,119
147,12,119,62
148,13,61,120
149,13,120,119
150,61,12,62
151,61,62,120
152,13,14,62
153,63,120,121
154,13,14,120
155,13,120,63
156,14,62,121
157,14,121,120
158,62,13,63
159,62,63,121
160,14,1,63
161,64,121,108
162,14,1,121
163,14,121,64
164,1,63,108
165,1,108,121
166,63,14,64
167,63,64,108
168,64,1,72
169,15,108,122
170,64,1,108
171,64,108,15
172,1,72,122
173,1,122,108
174,72,64,15
175,72,15,122
176,1,2,15
177,1,15,16
178,108,109,122
179,108,122,123
180,1,2,109
181,1,109,108
182,2,15,122
183,2,122,109
184,15,16,123
185,15,123,122
186,16,1,108
187,16,108,123
188,2,3,16
189,2,16,17
190,109,110,123
191,109,123,124
192,2,3,110
193,2,110,109
194,3,16,123
195,3,123,110
196,16,17,124
197,16,124,123
198,17,2,109
199,17,109,124
200,3,4,17
201,3,17,18
202,110,111,124
203,110,124,125
204,3,4,111
205,3,111,110
206,4,17,124
207,4,124,111
208,17,18,125
209,17,125,124
210,18,3,110
211,18,110,125
212,4,5,18
213,4,18,19
214,111,112,125
215,111,125,126
216,4,5,112
217,4,112,111
218,5,18,125
219,5,125,112
220,18,19,126
221,18,126,125
222,19,4,111
223,19,111,126
224,5,6,19
225,5,19,20
226,112,113,126
227,112,126,127
228,5,6,113
229,5,113,112
230,6,19,126
231,6,126,113
232,19,20,127
233,19,127,126
234,20,5,112
235,20,112,127
236,6,7,20
237,6,20,21
238,113,114,127
239,113,127,128
240,6,7,114
241,6,114,113
242,7,20,127
243,7,127,114
244,20,21,128
245,20,128,127
246,21,6,113
247,21,113,128
248,7,8,21
249,7,21,22
250,114,115,128
251,114,128,129
252,7,8,115
253,7,115,114
254,8,21,128
255,8,128,115
256,21,22,129
257,21,129,128
258,22,7,114
259,22,114,129
260,8,57,22
261,65,115,129
262,8,57,115
263,8,115,65
264,57,22,129
265,57,129,115
266,22,8,65
267,22,65,129
268,57,58,65
269,57,65,66
270,115,116,129
271,115,129,130
272,57,58,116
273,57,116,115
274,58,65,129
275,58,129,116
276,65,66,130
277,65,130,129
278,66,57,115
279,66,115,130
280,58,59,66
281,58,66,67
282,116,117,130
283,116,130,131
284,58,59,117
285,58,117,116
286,59,66,130
287,59,130,117
288,66,67,131
289,66,131,130
290,67,58,116
291,67,116,131
292,59,60,67
293,59,67,68
294,117,118,131
295,117,131,132
296,59,60,118
297,59,118,117
298,60,67,131
299,60,131,118
300,67,68,132
301,67,132,131
302,68,59,117
303,68,117,132
304,60,61,68
305,60,68,69
306,118,119,132
307,118,132,133
308,60,61,119
309,60,119,118
310,61,68,132
311,61,132,119
312,68,69,133
313,68,133,132
314,69,60,118
315,69,118,133
316,61,62,69
317,61,69,70
318,119,120,133
319,119,133,134
320,61,62,120
321,61,120,119
322,62,69,133
323,62,133,120
324,69,70,134
325,69,134,133
326,70,61,119
327,70,119,134
328,62,63,70
329,62,70,71
330,120,121,134
